[Wafer Information]
Wafer Number,19
Wafer ID,A14-Q335961-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100758-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/16/2024 10:15
End Time,01/16/2024 10:19
Inspection Time,0:03:22
Photo Time,0:03:39
Data Output Time,01/16/2024 11:41

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F33 Black Foreign material,F06 Incoming others,F07 Incoming microlens periphery peeling
19,A14-Q335961-402,5518,5461,98.967017,57,111,63,12,9,27

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,26,Pass,271.021176,8.649612,749.63304,1
8,26,Pass,57.66408,8.649612,152.809812,1
9,26,Pass,37.481652,8.649612,100.91214,1
12,38,Pass,80.729712,8.649612,207.590688,1
12,14,Pass,273.90438,8.649612,764.04906,1
14,57,50,46.131264,23.065632,285.437196,3
15,44,Pass,37.481652,8.649612,100.91214,1
15,12,Pass,273.90438,8.649612,815.946732,1
16,44,Pass,115.32816,8.649612,308.502828,1
17,44,Pass,271.021176,8.649612,792.8811,1
17,44,Pass,123.977772,8.649612,328.685256,1
19,12,Pass,46.131264,63.430488,689.085756,3
19,12,Pass,54.619566,74.742564,1011.785897,3
26,4,Pass,86.49612,8.649612,245.07234,1
26,4,Pass,86.49612,8.649612,247.955544,1
29,26,Pass,273.90438,8.649612,755.399448,1
31,45,Pass,271.021176,8.649612,810.180324,1
31,45,Pass,123.977772,8.649612,337.334868,1
32,45,Pass,242.189136,8.649612,726.567408,1
32,9,50,46.131264,28.83204,305.619624,3
36,3,Pass,46.131264,8.649612,129.74418,1
38,50,50,23.065632,43.24806,164.342628,2
41,1,Pass,17.299224,20.182428,92.262528,2
39,46,50,46.131264,20.182428,259.48836,3
43,66,Pass,273.90438,8.649612,813.063528,1
43,66,Pass,273.90438,8.649612,813.063528,1
43,66,Pass,271.021176,8.649612,810.180324,1
42,66,Pass,273.90438,8.649612,789.997896,1
48,19,50,14.41602,20.182428,74.963304,2
48,8,50,46.131264,28.83204,354.634092,3
51,45,Pass,271.021176,8.649612,746.749836,1
51,26,Pass,271.021176,8.649612,772.698672,1
51,26,Pass,273.90438,8.649612,764.04906,1
51,26,Pass,123.977772,8.649612,328.685256,1
54,67,Pass,273.90438,8.649612,810.180324,1
54,67,Pass,273.90438,8.649612,778.46508,1
54,67,Pass,126.860976,8.649612,354.634092,1
55,63,50,46.131264,20.182428,259.48836,3
60,44,Pass,271.021176,8.649612,801.530712,1
60,44,Pass,271.021176,8.649612,795.764304,1
60,44,Pass,268.137972,8.649612,801.530712,1
60,28,Pass,8.649612,37.481652,109.561752,1
64,58,50,43.24806,25.948836,305.619624,3
65,66,Pass,271.021176,8.649612,766.932264,1
65,66,Pass,268.137972,8.649612,715.034592,1
66,66,Pass,54.780876,8.649612,149.926608,1
71,26,Pass,271.021176,8.649612,810.180324,1
71,26,50,100.91214,8.649612,262.371564,1
71,13,Pass,273.90438,8.649612,761.165856,1
71,13,Pass,268.137972,8.649612,735.21702,1
71,13,Pass,112.444956,8.649612,305.619624,1
72,61,50,98.028936,23.065632,582.407208,3
73,14,Pass,271.021176,8.649612,740.983428,1
77,12,50,40.364856,31.715244,348.867684,3
90,27,Pass,8.649612,86.49612,230.65632,1
90,27,Pass,8.649612,172.99224,490.14468,1
90,27,Pass,8.649612,83.612916,245.07234,1
89,27,Pass,8.649612,170.109036,461.31264,1
91,27,Pass,8.649612,144.1602,412.298172,1
93,20,Pass,8.649612,83.612916,224.889912,1
93,20,Pass,8.649612,60.547284,172.99224,1
93,32,Pass,271.021176,8.649612,752.516244,1
94,28,Pass,1441.602,614.122452,15612.54966,1
95,28,Pass,2214.300672,614.122452,44655.063552,1
95,28,Pass,121.094568,115.32816,2197.001448,4
95,28,Pass,43.24806,227.773116,2643.898068,63
95,28,Pass,121.094568,115.32816,2243.132712,4
94,27,Pass,1441.602,3488.67684,116121.0411,1
94,27,Pass,121.094568,115.32816,2199.884652,4
94,27,Pass,291.203604,469.962252,43761.270312,2
94,27,Pass,121.094568,115.32816,2165.286204,4
94,27,Pass,121.094568,112.444956,2211.417468,4
94,27,Pass,121.094568,115.32816,2176.81902,4
94,27,Pass,121.094568,115.32816,2251.782324,4
94,27,Pass,121.094568,112.444956,2271.964752,4
94,27,Pass,403.64856,429.597396,59261.375016,2
94,27,Pass,121.094568,115.32816,2248.89912,4
94,27,Pass,121.094568,115.32816,2271.964752,4
94,27,Pass,121.094568,118.211364,2274.847956,4
94,27,Pass,253.721952,429.597396,37369.207044,2
95,27,Pass,2217.183876,3482.910432,209314.843992,1
95,27,Pass,118.211364,115.32816,2173.935816,4
95,27,Pass,472.845456,472.845456,72054.151164,2
95,27,Pass,121.094568,112.444956,2205.65106,4
95,27,Pass,121.094568,115.32816,2176.81902,4
95,27,Pass,86.49612,285.437196,8485.269372,63
95,27,Pass,121.094568,115.32816,2107.622124,4
95,27,Pass,121.094568,115.32816,2257.548732,4
95,27,Pass,123.977772,118.211364,2222.950284,4
95,27,Pass,403.64856,429.597396,59267.141424,2
95,27,Pass,123.977772,115.32816,2202.767856,4
95,27,Pass,121.094568,115.32816,2168.169408,4
95,27,Pass,121.094568,115.32816,2171.052612,4
95,27,Pass,184.525056,224.889912,4440.13416,63
95,27,Pass,403.64856,432.4806,59310.389484,2
95,27,Pass,121.094568,115.32816,2171.052612,4
95,27,Pass,121.094568,115.32816,2113.388532,4
95,27,Pass,34.598448,83.612916,948.574116,63
95,27,Pass,118.211364,112.444956,2142.220572,4
96,22,Pass,80.729712,8.649612,222.006708,1
97,38,Pass,80.729712,8.649612,213.357096,1
15,40,Pass,11.498856,2.874714,11.464996,1
24,54,Pass,17.248284,2.874714,17.197494,1
30,41,Pass,14.37357,2.874714,14.331245,1
32,44,Pass,5.749428,2.874714,5.732498,1
75,44,Pass,8.624142,2.874714,8.598747,1
86,19,Pass,8.624142,2.874714,8.598747,1
67,2,50,51.744852,17.248284,123.248707,3
71,25,50,22.997712,51.744852,332.484884,3

