[Wafer Information]
Wafer Number,25
Wafer ID,A12-Q337656-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101915-009
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/01/2024 08:00
End Time,02/01/2024 08:04
Inspection Time,0:03:20
Photo Time,0:10:09
Data Output Time,02/01/2024 08:58

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F33 Black Foreign material
25,A12-Q337656-404,5518,5406,97.970279,112,159,82,14,59,2,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
32,33,50,80.491992,22.997712,478.663583,3
34,40,50,94.865562,25.872426,564.651053,3
37,60,50,71.86785,25.872426,535.988563,3
39,53,50,63.243708,22.997712,398.408611,3
40,36,50,91.990848,25.872426,619.109784,3
43,6,50,77.617278,14.37357,292.357398,3
43,33,50,100.61499,22.997712,570.383551,3
45,30,50,68.993136,25.872426,470.064836,3
44,42,50,54.619566,48.870138,610.511037,3
46,16,50,80.491992,22.997712,533.122314,3
47,36,50,109.239132,22.997712,713.696001,3
48,47,50,57.49428,25.872426,378.344868,3
48,6,50,51.744852,25.872426,369.746121,3
48,55,50,60.368994,22.997712,404.141109,3
50,16,50,51.744852,20.122998,295.223647,3
52,11,50,54.619566,17.248284,286.6249,3
54,61,50,94.865562,25.872426,664.969768,3
55,41,50,51.744852,22.997712,315.28739,3
56,17,50,86.24142,20.122998,444.268595,3
59,13,50,54.619566,22.997712,386.943615,3
59,18,50,60.368994,17.248284,255.096161,3
63,51,50,63.243708,22.997712,404.141109,3
63,27,50,89.116134,43.12071,581.848547,3
66,64,50,51.744852,17.248284,249.363663,3
68,64,50,28.74714,57.49428,372.61237,3
71,27,50,71.86785,25.872426,510.192322,3
74,7,50,60.368994,17.248284,321.019888,3
74,56,50,83.366706,25.872426,472.931085,3
74,33,50,51.744852,22.997712,309.554892,3
73,12,50,114.98856,25.872426,730.893495,3
73,40,50,51.744852,25.872426,369.746121,3
75,33,50,63.243708,22.997712,409.873607,3
78,9,50,80.491992,28.74714,544.58731,3
83,27,50,51.744852,17.248284,278.026153,3
84,33,50,74.742564,22.997712,498.727326,3
85,33,50,77.617278,22.997712,553.186057,3
89,55,50,54.619566,20.122998,323.886137,3
90,32,50,71.86785,25.872426,484.396081,3
90,56,50,54.619566,25.872426,407.007358,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F33 Black Foreign material
25,A12-Q337656-404,5518,5449,98.749547,69,86,82,3,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,19,50,54.780876,23.065632,348.867684,3
7,19,50,60.368994,31.621854,475.797334,3
7,50,50,43.24806,20.182428,262.371564,3
7,50,50,51.744852,31.621854,470.064836,3
9,45,Pass,219.123504,8.649612,657.370512,1
9,45,Pass,273.90438,8.649612,778.46508,1
11,24,50,49.014468,20.182428,285.437196,3
11,24,50,51.744852,22.997712,326.752386,3
12,44,Pass,8.649612,60.547284,152.809812,1
12,26,Pass,273.90438,8.649612,761.165856,1
12,26,Pass,262.371564,8.649612,775.581876,1
19,56,Pass,28.83204,325.802052,1897.148232,2
20,18,Pass,28.83204,325.802052,2021.126004,2
21,51,Pass,8.649612,8.649612,25.948836,63
21,55,Pass,28.83204,325.802052,1957.695516,2
21,55,Pass,28.83204,325.802052,1931.74668,2
21,55,Pass,28.83204,325.802052,2139.337368,2
22,55,Pass,28.83204,325.802052,2243.132712,2
24,16,50,57.66408,23.065632,354.634092,3
24,16,50,63.243708,28.74714,484.396081,3
24,27,Pass,28.83204,325.802052,2165.286204,2
23,19,Pass,51.897672,8.649612,155.693016,1
23,19,Pass,80.729712,8.649612,233.539524,1
23,9,50,43.24806,17.299224,242.189136,3
26,63,Pass,28.83204,325.802052,2156.636592,2
26,63,Pass,28.83204,328.685256,2182.585428,2
26,63,Pass,25.948836,322.918848,2243.132712,2
25,24,50,49.014468,23.065632,314.269236,3
25,24,50,51.744852,25.872426,381.211117,3
27,24,50,46.131264,23.065632,256.605156,3
27,24,50,48.870138,40.245996,352.548627,3
27,24,50,89.116134,28.74714,664.969768,3
28,15,Pass,28.83204,325.802052,1876.965804,2
28,15,Pass,28.83204,325.802052,1917.33066,2
32,30,50,74.963304,20.182428,435.363804,3
32,30,50,77.617278,22.997712,567.517302,3
35,19,50,69.196896,25.948836,441.130212,3
35,19,50,74.742564,28.74714,578.982298,3
36,29,50,31.715244,40.364856,374.81652,3
44,41,Pass,17.299224,23.065632,106.678548,2
43,5,50,51.897672,25.948836,305.619624,3
43,5,50,63.243708,28.74714,421.338603,3
54,57,Pass,28.83204,322.918848,2058.607656,2
55,16,50,51.897672,23.065632,337.334868,3
55,16,50,57.49428,25.872426,407.007358,3
57,11,Pass,271.021176,8.649612,717.917796,1
56,26,Pass,271.021176,8.649612,810.180324,1
56,26,Pass,271.021176,8.649612,792.8811,1
56,26,Pass,123.977772,8.649612,357.517296,1
58,39,Pass,28.83204,325.802052,1894.265028,2
60,26,Pass,8.649612,152.809812,389.23254,1
60,19,Pass,28.83204,325.802052,1960.57872,2
60,39,Pass,28.83204,325.802052,1923.097068,2
59,12,50,43.24806,25.948836,273.90438,3
63,41,Pass,28.83204,328.685256,1974.99474,2
63,41,Pass,28.83204,328.685256,2254.665528,2
62,41,Pass,28.83204,325.802052,1902.91464,2
62,41,Pass,25.948836,325.802052,2070.140472,2
62,41,Pass,28.83204,325.802052,2061.49086,2
62,41,Pass,11.532816,17.299224,54.780876,63
62,37,Pass,28.83204,328.685256,1845.25056,2
63,37,Pass,28.83204,325.802052,1813.535316,2
63,37,Pass,28.83204,325.802052,1957.695516,2
62,42,Pass,28.83204,328.685256,2243.132712,2
62,42,Pass,28.83204,328.685256,2332.512036,2
62,42,Pass,28.83204,328.685256,2318.096016,2
63,42,Pass,28.83204,328.685256,2612.182824,2
63,42,Pass,14.41602,328.685256,1447.368408,2
63,42,Pass,28.83204,328.685256,2658.314088,2
63,33,Pass,8.649612,83.612916,236.422728,1
64,7,50,25.948836,126.860976,680.436144,2
64,7,50,20.182428,121.094568,726.567408,2
64,7,50,74.742564,22.997712,404.141109,3
63,6,Pass,28.83204,325.802052,1830.83454,2
64,6,Pass,28.83204,325.802052,1802.0025,2
64,6,Pass,28.83204,325.802052,1813.535316,2
66,10,Pass,28.83204,325.802052,1972.111536,2
66,10,Pass,28.83204,325.802052,2104.73892,2
66,10,Pass,28.83204,325.802052,2110.505328,2
67,10,Pass,28.83204,325.802052,2433.424176,2
67,10,Pass,28.83204,325.802052,2220.06708,2
67,10,Pass,28.83204,325.802052,2606.416416,2
67,55,50,14.41602,20.182428,80.729712,2
70,37,Pass,28.83204,325.802052,2081.673288,2
70,30,Pass,28.83204,325.802052,2003.82678,2
72,11,Pass,28.83204,325.802052,1882.732212,2
72,11,Pass,28.83204,325.802052,1894.265028,2
72,11,Pass,28.83204,325.802052,1957.695516,2
72,43,50,20.182428,20.182428,89.379324,2
74,16,50,51.897672,23.065632,299.853216,3
74,16,50,54.619566,28.74714,429.93735,3
73,35,Pass,28.83204,325.802052,1859.66658,2
73,35,Pass,28.83204,322.918848,1845.25056,2
73,35,Pass,28.83204,322.918848,1931.74668,2
74,35,Pass,28.83204,325.802052,1960.57872,2
