[Wafer Information]
Wafer Number,15
Wafer ID,A50-Q337422-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101073-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 08:20
End Time,01/20/2024 08:23
Inspection Time,0:03:21
Photo Time,0:04:23
Data Output Time,01/20/2024 09:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
15,A50-Q337422-402,5518,5480,99.311345,38,318,18,260,27,13

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
41,39,50,20.122998,2.874714,20.063743,1
41,39,50,8.624142,2.874714,8.598747,1
41,39,50,5.749428,2.874714,5.732498,1
41,39,50,11.498856,2.874714,11.464996,1
41,39,50,8.624142,2.874714,8.598747,1
41,39,50,5.749428,2.874714,5.732498,1
41,39,50,11.498856,2.874714,11.464996,1
41,39,50,100.61499,2.874714,100.318715,1
41,39,50,22.997712,2.874714,22.929992,1
41,39,50,34.496568,2.874714,34.394988,1
41,39,50,11.498856,2.874714,11.464996,1
41,39,50,5.749428,2.874714,5.732498,1
41,39,50,140.860986,5.749428,151.911197,1
41,39,50,8.624142,2.874714,8.598747,1
41,39,50,43.12071,5.749428,48.726233,1
41,39,50,83.366706,2.874714,83.121221,1
41,39,50,5.749428,2.874714,5.732498,1
41,39,50,48.870138,5.749428,51.592482,1
41,39,50,8.624142,218.478264,257.96241,1
41,39,50,8.624142,155.234556,249.363663,1
41,39,50,8.624142,511.699092,639.173527,1
41,39,50,8.624142,34.496568,60.191229,1
41,39,50,5.749428,112.113846,134.713703,1
41,39,50,5.749428,235.726548,289.491149,1
41,39,50,5.749428,80.491992,85.98747,1
55,29,50,1345.366152,80.491992,13929.97014,1
56,29,50,2239.402206,80.491992,23359.92935,1
55,28,50,1345.366152,3820.494906,64347.29005,1
56,28,50,2239.402206,3820.494906,119688.825742,1
77,4,50,25.872426,11.498856,60.191229,1
29,29,50,45.995424,48.870138,464.332338,3
92,41,50,45.995424,51.744852,492.994828,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
15,A50-Q337422-402,5518,5509,99.836897,9,10,10

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,35,50,40.364856,28.83204,325.802052,3
6,30,Pass,273.90438,8.649612,813.063528,1
6,30,Pass,273.90438,8.649612,801.530712,1
6,37,50,66.313692,28.83204,444.013416,3
6,40,Pass,86.49612,8.649612,245.07234,1
27,40,50,49.014468,20.182428,276.787584,3
30,40,Pass,8.649612,86.49612,230.65632,1
32,37,50,43.24806,23.065632,273.90438,3
33,14,Pass,954.340524,118.211364,8381.474028,1
34,14,Pass,2217.183876,118.211364,28529.30358,1
34,14,Pass,121.094568,69.196896,1222.478496,4
34,14,Pass,184.525056,57.66408,2909.152836,63
35,14,Pass,17.299224,118.211364,709.268184,1
34,13,Pass,2217.183876,3797.179668,265390.278588,1
34,13,Pass,118.211364,115.32816,2254.665528,4
34,13,Pass,472.845456,472.845456,74236.736592,2
34,13,Pass,121.094568,112.444956,2251.782324,4
34,13,Pass,121.094568,115.32816,2286.380772,4
34,13,Pass,86.49612,285.437196,8560.232676,63
34,13,Pass,121.094568,115.32816,2208.534264,4
34,13,Pass,121.094568,112.444956,2286.380772,4
34,13,Pass,123.977772,115.32816,2309.446404,4
34,13,Pass,403.64856,429.597396,59264.25822,2
34,13,Pass,121.094568,112.444956,2289.263976,4
34,13,Pass,121.094568,115.32816,2289.263976,4
34,13,Pass,121.094568,112.444956,2266.198344,4
34,13,Pass,406.531764,432.4806,59339.221524,2
34,13,Pass,121.094568,112.444956,2205.65106,4
34,13,Pass,121.094568,115.32816,2188.351836,4
34,13,Pass,34.598448,83.612916,980.28936,63
34,13,Pass,121.094568,115.32816,2222.950284,4
34,13,Pass,43.24806,227.773116,2713.094964,63
34,13,Pass,121.094568,112.444956,2312.329608,4
35,13,Pass,17.299224,3794.296464,18835.971732,1
33,13,Pass,954.340524,3791.41326,77105.524572,1
33,13,Pass,63.430488,115.32816,1259.960148,4
33,13,Pass,121.094568,112.444956,2159.519796,4
33,13,Pass,121.094568,115.32816,2197.001448,4
33,13,Pass,118.211364,115.32816,2176.81902,4
33,13,Pass,121.094568,112.444956,2228.716692,4
33,13,Pass,121.094568,115.32816,2225.833488,4
33,13,Pass,403.64856,429.597396,59244.075792,2
33,13,Pass,121.094568,112.444956,2225.833488,4
33,13,Pass,121.094568,115.32816,2208.534264,4
33,13,Pass,121.094568,115.32816,2286.380772,4
40,41,Pass,80.729712,8.649612,227.773116,1
39,23,50,77.846508,25.948836,469.962252,3
39,23,50,60.368994,14.37357,126.114956,3
41,52,Pass,14.41602,20.182428,74.963304,2
43,67,Pass,8.649612,86.49612,236.422728,1
57,62,Pass,28.83204,320.035644,1925.980272,2
60,44,50,43.24806,31.715244,302.73642,3
64,51,Pass,273.90438,8.649612,801.530712,1
67,20,Pass,80.729712,8.649612,216.2403,1
70,29,Pass,273.90438,8.649612,720.801,1
70,30,Pass,273.90438,8.649612,772.698672,1
74,3,Pass,273.90438,8.649612,813.063528,1
74,3,Pass,271.021176,8.649612,775.581876,1
74,3,Pass,49.014468,8.649612,147.043404,1
78,46,Pass,1654.959096,429.597396,108296.025444,1
78,46,Pass,498.794292,625.655268,71901.341352,3
78,46,Pass,452.663028,622.772064,85014.153144,3
78,46,Pass,593.940024,233.539524,44758.858896,2
78,46,Pass,23.065632,69.196896,467.079048,1
78,46,Pass,23.065632,123.977772,772.698672,1
78,46,Pass,668.903328,1718.389584,283776.470496,3
78,46,Pass,1187.880048,1764.520848,129822.026508,1
78,46,Pass,406.531764,432.4806,59422.83444,2
78,46,Pass,11.532816,429.597396,1698.207156,1
78,46,Pass,455.546232,23.065632,1536.747732,1
78,46,Pass,17.299224,14.41602,57.66408,1
78,46,Pass,11.532816,14.41602,46.131264,1
78,46,Pass,501.677496,1225.3617,111900.030444,3
78,46,Pass,666.020124,3650.136264,618715.395972,3
78,46,Pass,5.766408,31.715244,63.430488,1
78,46,Pass,599.706432,426.714192,81836.862336,2
78,46,Pass,5.766408,25.948836,51.897672,1
78,46,Pass,23.065632,582.407208,4255.609104,1
78,46,Pass,250.838748,426.714192,36654.172452,2
78,46,Pass,20.182428,69.196896,299.853216,1
78,46,Pass,5.766408,11.532816,23.065632,1
78,46,Pass,5.766408,14.41602,28.83204,1
78,46,Pass,403.64856,2436.30738,118277.677692,1
78,46,Pass,409.414968,435.363804,61017.246252,3
78,46,Pass,222.006708,2874.554388,88707.537468,1
78,46,Pass,11.532816,3249.370908,8202.71538,1
78,46,Pass,187.40826,1980.761148,113540.57352,3
78,46,Pass,181.641852,1744.33842,94136.6106,3
78,46,Pass,8.649612,885.143628,2191.23504,1
78,46,Pass,227.773116,622.772064,33050.167452,1
80,12,50,57.66408,25.948836,366.166908,3
83,23,Pass,28.83204,328.685256,2563.168356,2
83,23,Pass,28.83204,328.685256,2436.30738,2
83,23,Pass,28.83204,325.802052,2364.22728,2
40,40,Pass,5.749428,28.74714,42.993735,1
40,40,Pass,8.624142,45.995424,94.586217,1
40,40,Pass,5.749428,37.371282,54.458731,1
40,40,Pass,2.874714,5.749428,5.732498,1
40,40,Pass,8.624142,232.851834,467.198587,1
40,40,Pass,5.749428,117.863274,223.567422,1
40,40,Pass,2.874714,5.749428,5.732498,1
40,40,Pass,5.749428,140.860986,269.427406,1
40,40,Pass,8.624142,135.111558,246.497414,1
40,40,Pass,5.749428,8.624142,11.464996,1
40,40,Pass,5.749428,40.245996,71.656225,1
40,40,Pass,5.749428,40.245996,77.388723,1
40,40,Pass,5.749428,37.371282,65.923727,1
40,40,Pass,5.749428,31.621854,54.458731,1
40,40,Pass,2.874714,5.749428,5.732498,1
40,40,Pass,8.624142,40.245996,77.388723,1
40,40,Pass,5.749428,14.37357,25.796241,1
40,40,Pass,2.874714,5.749428,5.732498,1
40,40,Pass,5.749428,117.863274,212.102426,1
40,40,Pass,8.624142,137.986272,263.694908,1
40,40,Pass,5.749428,91.990848,143.31245,1
40,40,Pass,8.624142,34.496568,51.592482,1
40,40,Pass,2.874714,8.624142,8.598747,1
40,40,Pass,8.624142,126.487416,200.63743,1
40,40,Pass,5.749428,40.245996,57.32498,1
40,40,Pass,5.749428,313.343826,498.727326,1
40,40,Pass,5.749428,60.368994,65.923727,1
40,40,Pass,2.874714,43.12071,42.993735,1
40,40,Pass,8.624142,60.368994,71.656225,1
40,40,Pass,2.874714,17.248284,17.197494,1
40,40,Pass,2.874714,20.122998,20.063743,1
40,40,Pass,5.749428,129.36213,180.573687,1
40,40,Pass,5.749428,74.742564,80.254972,1
40,40,Pass,5.749428,227.102406,289.491149,1
40,40,Pass,5.749428,43.12071,68.789976,1
40,40,Pass,5.749428,97.740276,146.178699,1
40,40,Pass,5.749428,91.990848,131.847454,1
40,40,Pass,2.874714,5.749428,5.732498,1
40,40,Pass,5.749428,293.220828,401.27486,1
40,40,Pass,5.749428,129.36213,212.102426,1
40,40,Pass,5.749428,235.726548,401.27486,1
40,40,Pass,5.749428,34.496568,51.592482,1
40,40,Pass,5.749428,60.368994,100.318715,1
40,40,Pass,5.749428,137.986272,214.968675,1
40,40,Pass,5.749428,25.872426,31.528739,1
40,40,Pass,5.749428,235.726548,389.809864,1
40,40,Pass,28.74714,135.111558,214.968675,1
40,40,Pass,43.12071,8.624142,65.923727,1
40,40,Pass,103.489704,8.624142,149.044948,1
40,40,Pass,20.122998,5.749428,22.929992,1
40,40,Pass,31.621854,5.749428,40.127486,1
40,40,Pass,43.12071,5.749428,65.923727,1
40,40,Pass,60.368994,5.749428,63.057478,1
40,40,Pass,132.236844,2.874714,131.847454,1
40,40,Pass,43.12071,2.874714,42.993735,1
40,40,Pass,51.744852,2.874714,51.592482,1
40,40,Pass,14.37357,2.874714,14.331245,1
40,40,Pass,86.24142,5.749428,88.853719,1
40,40,Pass,5.749428,2.874714,5.732498,1
40,40,Pass,175.357554,5.749428,180.573687,1
40,40,Pass,5.749428,2.874714,5.732498,1
40,40,Pass,89.116134,2.874714,88.853719,1
40,40,Pass,5.749428,2.874714,5.732498,1
40,40,Pass,54.619566,5.749428,57.32498,1
40,40,Pass,5.749428,2.874714,5.732498,1
40,40,Pass,22.997712,2.874714,22.929992,1
40,40,Pass,11.498856,2.874714,11.464996,1
40,40,Pass,25.872426,2.874714,25.796241,1
40,40,Pass,120.737988,2.874714,120.382458,1
