[Wafer Information]
Wafer Number,19
Wafer ID,A04-Q337354-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101963-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/03/2024 03:43
End Time,02/03/2024 03:46
Inspection Time,0:03:20
Photo Time,0:01:28
Data Output Time,02/03/2024 04:24

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others,F07 Incoming microlens periphery peeling
19,A04-Q337354-404,5518,5437,98.532077,81,114,27,51,29,1,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,30,50,43.24806,20.182428,239.305932,3
2,42,Pass,268.137972,8.649612,801.530712,1
3,42,50,54.780876,20.182428,314.269236,3
7,27,50,43.24806,20.182428,233.539524,3
8,48,50,60.547284,23.065632,371.933316,3
9,29,Pass,273.90438,8.649612,761.165856,1
9,29,Pass,271.021176,8.649612,778.46508,1
9,29,Pass,268.137972,8.649612,787.114692,1
10,15,Pass,8.649612,141.276996,369.050112,1
12,14,Pass,8.649612,83.612916,224.889912,1
12,14,Pass,8.649612,83.612916,227.773116,1
12,14,Pass,8.649612,83.612916,239.305932,1
12,14,Pass,8.649612,172.99224,507.443904,1
12,14,Pass,8.649612,86.49612,239.305932,1
12,30,Pass,8.649612,144.1602,412.298172,1
12,13,Pass,273.90438,8.649612,775.581876,1
17,23,Pass,8.649612,83.612916,242.189136,1
18,19,Pass,8.649612,83.612916,219.123504,1
19,60,Pass,268.137972,8.649612,792.8811,1
19,21,Pass,28.83204,325.802052,1851.016968,2
19,21,Pass,28.83204,325.802052,1998.060372,2
19,21,Pass,25.948836,322.918848,1980.761148,2
20,21,Pass,28.83204,325.802052,1957.695516,2
20,21,Pass,28.83204,325.802052,1998.060372,2
20,21,Pass,28.83204,325.802052,2211.417468,2
21,31,50,43.24806,20.182428,250.838748,3
23,26,Pass,25.948836,322.918848,1908.681048,2
23,42,Pass,273.90438,8.649612,726.567408,1
23,42,Pass,271.021176,8.649612,743.866632,1
23,42,Pass,149.926608,8.649612,446.89662,1
22,28,50,28.83204,322.918848,2003.82678,2
22,28,50,43.24806,20.182428,242.189136,3
23,28,50,28.83204,322.918848,2075.90688,2
23,28,50,28.83204,322.918848,2012.476392,2
23,28,Pass,28.83204,322.918848,2240.249508,2
22,32,50,43.24806,23.065632,259.48836,3
25,60,Pass,23.065632,11.532816,80.729712,63
26,5,Pass,83.612916,8.649612,242.189136,1
26,5,Pass,86.49612,8.649612,247.955544,1
28,32,50,46.131264,20.182428,265.254768,3
32,12,Pass,273.90438,8.649612,778.46508,1
34,13,Pass,273.90438,8.649612,807.29712,1
34,13,Pass,268.137972,8.649612,749.63304,1
34,13,Pass,123.977772,8.649612,331.56846,1
38,40,50,40.364856,23.065632,236.422728,3
39,62,Pass,54.780876,8.649612,149.926608,1
39,61,Pass,273.90438,8.649612,815.946732,1
39,61,Pass,69.196896,8.649612,201.82428,1
43,20,Pass,80.729712,8.649612,219.123504,1
44,24,Pass,8.649612,83.612916,224.889912,1
45,39,50,43.24806,20.182428,242.189136,3
47,37,Pass,28.83204,325.802052,1992.293964,2
46,56,50,51.897672,20.182428,288.3204,3
51,45,50,46.131264,20.182428,259.48836,3
54,40,Pass,14.41602,135.510588,426.714192,63
54,3,Pass,83.612916,8.649612,213.357096,1
55,60,50,72.0801,20.182428,432.4806,3
54,67,50,60.547284,23.065632,369.050112,3
56,13,Pass,271.021176,8.649612,738.100224,1
57,13,Pass,54.780876,8.649612,155.693016,1
59,23,Pass,8.649612,83.612916,216.2403,1
56,15,Pass,20.182428,23.065632,115.32816,2
57,50,Pass,11.532816,14.41602,43.24806,63
56,42,Pass,271.021176,8.649612,729.450612,1
60,61,Pass,271.021176,8.649612,769.815468,1
60,61,Pass,271.021176,8.649612,801.530712,1
60,61,Pass,268.137972,8.649612,795.764304,1
59,60,50,43.24806,20.182428,256.605156,3
60,62,Pass,54.780876,8.649612,144.1602,1
64,26,50,46.131264,20.182428,268.137972,3
66,24,Pass,8.649612,170.109036,472.845456,1
66,24,Pass,8.649612,86.49612,236.422728,1
66,24,Pass,8.649612,51.897672,147.043404,1
67,26,Pass,25.948836,322.918848,1949.045904,2
66,18,Pass,28.83204,325.802052,1796.236092,2
66,18,Pass,28.83204,322.918848,1778.936868,2
66,18,Pass,28.83204,322.918848,2021.126004,2
67,18,Pass,28.83204,322.918848,1934.629884,2
67,18,Pass,28.83204,325.802052,1980.761148,2
67,18,Pass,28.83204,325.802052,2067.257268,2
67,17,50,14.41602,23.065632,80.729712,2
68,35,Pass,11.532816,8.649612,28.83204,1
69,36,50,54.780876,25.948836,363.283704,3
69,45,50,43.24806,25.948836,285.437196,3
69,14,Pass,20.182428,20.182428,112.444956,2
71,29,Pass,268.137972,8.649612,712.151388,1
72,64,50,69.196896,20.182428,400.765356,3
74,34,50,43.24806,17.299224,236.422728,3
77,56,Pass,25.948836,11.532816,92.262528,63
78,56,Pass,14.41602,536.275944,1712.623176,63
78,56,Pass,25.948836,14.41602,83.612916,63
79,44,50,63.430488,23.065632,369.050112,3
81,23,50,17.299224,23.065632,98.028936,2
80,50,Pass,28.83204,322.918848,1819.301724,2
81,50,Pass,28.83204,322.918848,1946.1627,2
81,50,Pass,28.83204,322.918848,1888.49862,2
81,50,Pass,28.83204,322.918848,2064.374064,2
81,55,50,69.196896,23.065632,432.4806,3
82,61,Pass,271.021176,8.649612,732.333816,1
82,61,Pass,271.021176,8.649612,798.647508,1
82,61,Pass,271.021176,8.649612,798.647508,1
82,61,50,40.364856,8.649612,115.32816,1
82,33,50,49.014468,28.83204,351.750888,3
83,24,Pass,8.649612,83.612916,219.123504,1
85,38,50,49.014468,23.065632,302.73642,3
85,16,Pass,20.182428,25.948836,123.977772,2
92,28,50,43.24806,17.299224,230.65632,3
91,33,50,46.131264,23.065632,271.021176,3
94,23,Pass,271.021176,8.649612,720.801,1
95,45,50,17.299224,25.948836,106.678548,2
96,23,Pass,20.182428,23.065632,118.211364,2
97,42,Pass,271.021176,8.649612,735.21702,1
99,42,50,43.24806,20.182428,262.371564,3
54,63,Pass,2.874714,5.749428,5.732498,1

