[Wafer Information]
Wafer Number,11
Wafer ID,Q335405-15F0
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101460-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/23/2024 01:53
End Time,01/23/2024 02:00
Inspection Time,0:06:38
Photo Time,0:09:38
Data Output Time,01/23/2024 02:37

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F06 Incoming others,F07 Incoming microlens periphery peeling
11,Q335405-15F0,19184,18995,99.014804,189,224,222,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
110,40,50,20.134884,2.876412,20.087452,1
113,41,50,51.775416,5.752824,94.697988,1
113,41,50,117.932892,8.629236,206.613792,1
118,38,50,5.752824,8.629236,17.217816,1
118,16,50,5.752824,8.629236,11.478544,1
134,6,50,20.134884,11.505648,54.523084,1
138,5,50,5.752824,8.629236,14.34818,1
139,114,50,8.629236,5.752824,14.34818,1
141,106,50,20.134884,2.876412,20.087452,1
140,82,50,5.752824,8.629236,14.34818,1
140,49,50,8.629236,8.629236,17.217816,1
140,38,50,5.752824,8.629236,17.217816,1
153,41,50,17.258472,2.876412,17.217816,1
153,41,50,25.887708,2.876412,25.826724,1
153,41,50,8.629236,2.876412,8.608908,1
152,66,50,20.134884,8.629236,31.565996,1
156,19,50,2.876412,37.393356,37.305268,1
156,19,50,2.876412,25.887708,25.826724,1
159,20,50,2.876412,11.505648,11.478544,1
160,41,50,66.157476,5.752824,77.480172,1
160,41,50,11.505648,2.876412,11.478544,1
160,41,50,11.505648,5.752824,17.217816,1
162,27,50,5.752824,8.629236,17.217816,1
166,89,50,71.9103,8.629236,109.046168,1
170,40,50,14.38206,2.876412,14.34818,1
172,40,50,51.775416,5.752824,80.349808,1
172,40,50,14.38206,2.876412,14.34818,1
177,102,50,2.876412,23.011296,22.957088,1
177,22,50,5.752824,8.629236,14.34818,1
177,22,50,5.752824,8.629236,11.478544,1
184,27,50,5.752824,8.629236,17.217816,1
182,49,50,8.629236,11.505648,28.69636,1
189,40,50,60.404652,8.629236,106.176532,1
194,81,50,11.505648,5.752824,20.087452,1
199,41,50,14.38206,2.876412,14.34818,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F06 Incoming others,F07 Incoming microlens periphery peeling
11,Q335405-15F0,19184,19135,99.744579,49,52,27,2,2,21

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,50,Pass,11.532816,37.481652,98.028936,1
4,50,Pass,11.532816,86.49612,302.73642,1
4,50,Pass,11.532816,83.612916,305.619624,1
8,70,Pass,54.780876,8.649612,149.926608,1
8,57,Pass,17.299224,20.182428,86.49612,2
15,51,50,54.780876,25.948836,394.998948,3
19,57,50,49.014468,25.948836,325.802052,3
20,90,50,54.780876,20.182428,317.15244,3
24,80,Pass,8.649612,49.014468,132.627384,1
24,60,Pass,11.532816,149.926608,409.414968,1
24,59,Pass,8.649612,149.926608,441.130212,1
24,69,Pass,8.649612,49.014468,129.74418,1
24,48,Pass,8.649612,147.043404,441.130212,1
24,58,Pass,8.649612,46.131264,115.32816,1
24,81,Pass,8.649612,149.926608,392.115744,1
26,33,Pass,8.649612,83.612916,224.889912,1
26,44,Pass,8.649612,83.612916,233.539524,1
26,99,Pass,8.649612,80.729712,213.357096,1
26,66,Pass,8.649612,80.729712,222.006708,1
26,55,Pass,8.649612,83.612916,222.006708,1
26,77,Pass,8.649612,83.612916,236.422728,1
26,88,Pass,8.649612,80.729712,216.2403,1
28,97,Pass,80.729712,8.649612,233.539524,1
28,31,Pass,80.729712,8.649612,224.889912,1
31,54,Pass,49.014468,8.649612,138.393792,1
31,54,Pass,86.49612,8.649612,247.955544,1
31,54,Pass,74.963304,8.649612,207.590688,1
31,54,Pass,37.481652,8.649612,106.678548,1
31,54,Pass,63.430488,8.649612,181.641852,1
33,84,Pass,25.948836,23.065632,155.693016,2
36,98,Pass,20.182428,20.182428,103.795344,2
35,103,50,63.430488,23.065632,446.89662,3
46,36,Pass,8.649612,49.014468,123.977772,1
46,25,Pass,8.649612,49.014468,123.977772,1
46,15,Pass,8.649612,149.926608,400.765356,1
46,48,Pass,8.649612,149.926608,415.181376,1
46,37,Pass,8.649612,149.926608,438.247008,1
46,59,Pass,14.41602,20.182428,86.49612,2
48,110,Pass,8.649612,80.729712,233.539524,1
47,35,Pass,8.649612,83.612916,242.189136,1
48,99,Pass,8.649612,80.729712,230.65632,1
50,20,Pass,80.729712,8.649612,233.539524,1
50,20,Pass,80.729712,8.649612,236.422728,1
50,110,50,60.547284,23.065632,357.517296,3
50,31,Pass,80.729712,8.649612,219.123504,1
51,103,Pass,268.137972,8.649612,732.333816,1
52,76,Pass,54.780876,8.649612,149.926608,1
52,87,Pass,57.66408,8.649612,158.57622,1
57,111,50,54.780876,20.182428,314.269236,3
68,102,Pass,8.649612,49.014468,123.977772,1
68,9,Pass,8.649612,80.729712,242.189136,1
69,8,50,49.014468,46.131264,510.327108,3
68,26,Pass,8.649612,149.926608,426.714192,1
68,15,Pass,8.649612,149.926608,432.4806,1
68,47,Pass,8.649612,54.780876,132.627384,1
68,36,Pass,8.649612,51.897672,132.627384,1
70,11,Pass,8.649612,83.612916,233.539524,1
70,22,Pass,8.649612,83.612916,222.006708,1
70,33,Pass,8.649612,86.49612,224.889912,1
75,10,Pass,167.225832,8.649612,461.31264,1
75,10,Pass,77.846508,8.649612,219.123504,1
75,21,Pass,20.182428,8.649612,57.66408,1
84,13,50,46.131264,28.83204,343.101276,3
86,94,Pass,14.41602,20.182428,74.963304,2
90,113,Pass,8.649612,43.24806,126.860976,1
90,36,Pass,8.649612,54.780876,138.393792,1
90,26,Pass,8.649612,149.926608,441.130212,1
90,48,Pass,8.649612,149.926608,435.363804,1
90,25,Pass,8.649612,46.131264,123.977772,1
90,14,Pass,8.649612,54.780876,138.393792,1
90,15,Pass,8.649612,149.926608,441.130212,1
92,11,Pass,8.649612,83.612916,227.773116,1
92,77,Pass,8.649612,83.612916,224.889912,1
94,97,Pass,80.729712,8.649612,227.773116,1
94,46,Pass,17.299224,20.182428,80.729712,2
93,17,Pass,20.182428,17.299224,89.379324,2
94,4,Pass,92.262528,11.532816,247.955544,1
94,4,Pass,80.729712,8.649612,219.123504,1
97,109,Pass,23.065632,8.649612,66.313692,1
97,109,Pass,63.430488,8.649612,181.641852,1
97,54,Pass,89.379324,8.649612,268.137972,1
97,54,Pass,77.846508,8.649612,216.2403,1
101,90,Pass,95.145732,60.547284,1265.726556,3
101,90,Pass,100.67442,69.033888,1810.740316,3
104,21,Pass,40.364856,40.364856,357.517296,3
104,21,Pass,48.899004,48.899004,539.491568,3
106,3,50,43.24806,28.83204,337.334868,3
110,120,50,51.897672,20.182428,291.203604,3
112,3,50,43.24806,28.83204,363.283704,3
112,3,50,11.532816,121.094568,351.750888,1
112,4,Pass,8.649612,149.926608,409.414968,1
112,26,Pass,8.649612,152.809812,452.663028,1
112,15,Pass,8.649612,149.926608,441.130212,1
112,36,Pass,8.649612,51.897672,135.510588,1
112,16,Pass,11.532816,152.809812,458.429436,1
112,16,Pass,11.532816,149.926608,493.027884,1
112,16,Pass,11.532816,149.926608,469.962252,1
112,16,Pass,11.532816,106.678548,369.050112,1
112,59,Pass,8.649612,149.926608,420.947784,1
112,102,Pass,8.649612,46.131264,129.74418,1
112,113,Pass,8.649612,46.131264,123.977772,1
114,99,Pass,8.649612,86.49612,227.773116,1
114,5,Pass,11.532816,80.729712,216.2403,1
114,5,Pass,11.532816,80.729712,245.07234,1
116,53,Pass,80.729712,8.649612,222.006708,1
116,42,Pass,80.729712,8.649612,224.889912,1
116,81,Pass,170.109036,11.532816,536.275944,1
116,81,Pass,158.57622,11.532816,556.458372,1
116,81,Pass,268.137972,11.532816,1043.719848,1
116,81,Pass,123.977772,11.532816,458.429436,1
116,97,Pass,77.846508,8.649612,216.2403,1
116,75,Pass,54.780876,8.649612,164.342628,1
118,49,50,25.948836,25.948836,178.758648,2
116,31,Pass,80.729712,8.649612,236.422728,1
116,31,Pass,80.729712,8.649612,242.189136,1
118,120,Pass,54.780876,11.532816,181.641852,1
129,119,50,17.299224,20.182428,95.145732,2
134,80,Pass,8.649612,49.014468,123.977772,1
134,25,Pass,8.649612,49.014468,132.627384,1
134,26,Pass,8.649612,149.926608,420.947784,1
136,115,Pass,83.612916,11.532816,265.254768,1
136,115,Pass,149.926608,11.532816,542.042352,1
136,88,Pass,8.649612,80.729712,224.889912,1
136,77,Pass,8.649612,80.729712,219.123504,1
136,11,Pass,8.649612,83.612916,239.305932,1
136,22,Pass,8.649612,86.49612,227.773116,1
144,24,50,63.430488,28.83204,374.81652,3
144,24,50,66.157476,31.640532,441.923944,3
148,111,50,46.131264,40.364856,461.31264,3
148,116,50,69.196896,20.182428,409.414968,3
148,14,50,43.24806,28.83204,351.750888,3
156,102,Pass,8.649612,51.897672,132.627384,1
156,47,Pass,8.649612,49.014468,132.627384,1
156,91,Pass,8.649612,51.897672,132.627384,1
156,36,Pass,8.649612,49.014468,135.510588,1
156,26,Pass,8.649612,149.926608,444.013416,1
156,58,Pass,8.649612,49.014468,135.510588,1
158,33,Pass,8.649612,83.612916,230.65632,1
159,17,Pass,37.481652,8.649612,89.379324,1
159,17,Pass,63.281064,28.76412,441.923944,1
174,25,50,43.24806,28.83204,331.56846,3
178,25,Pass,8.649612,54.780876,149.926608,1
178,36,Pass,8.649612,49.014468,132.627384,1
178,48,Pass,8.649612,149.926608,444.013416,1
178,80,Pass,8.649612,40.364856,109.561752,1
180,88,Pass,8.649612,83.612916,227.773116,1
178,91,50,51.897672,20.182428,325.802052,3
179,86,Pass,23.065632,11.532816,74.963304,2
180,55,Pass,8.649612,83.612916,227.773116,1
180,24,50,34.598448,34.598448,320.035644,3
182,97,Pass,80.729712,8.649612,227.773116,1
180,85,50,43.24806,20.182428,271.021176,3
182,86,Pass,80.729712,8.649612,230.65632,1
182,75,Pass,80.729712,8.649612,224.889912,1
182,42,Pass,80.729712,8.649612,213.357096,1
184,58,50,74.963304,20.182428,429.597396,3
184,76,50,83.612916,23.065632,559.341576,3
189,93,50,54.780876,31.715244,357.517296,3
191,81,50,43.24806,20.182428,233.539524,3
201,44,50,54.780876,25.948836,394.998948,3
202,66,Pass,8.649612,80.729712,233.539524,1
207,60,50,51.897672,23.065632,305.619624,3
196,37,Pass,51.775416,34.516944,203.744156,3
197,38,Pass,20.134884,51.775416,212.353064,3
204,70,50,40.269768,48.899004,373.05268,3
15,49,Pass,8.629236,28.76412,71.7409,1
19,96,Pass,5.752824,8.629236,11.478544,1
28,40,Pass,2.876412,8.629236,8.608908,1
31,29,Pass,11.505648,2.876412,11.478544,1
42,56,Pass,11.505648,14.38206,31.565996,1
47,105,Pass,8.629236,5.752824,17.217816,1
52,71,50,5.752824,8.629236,17.217816,1
52,49,50,5.752824,11.505648,17.217816,1
