[Wafer Information]
Wafer Number,25
Wafer ID,A55-Q335548-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02093-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/02/2024 10:46
End Time,01/02/2024 10:50
Inspection Time,0:03:24
Photo Time,0:07:45
Data Output Time,01/03/2024 10:23

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage,F29 Silicon powder,F99 Others,F06 Incoming others,F07 Incoming microlens periphery peeling
25,A55-Q335548-352,5518,5427,98.350852,91,108,29,25,51,2,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
17,21,50,57.66408,34.598448,455.546232,3
17,21,50,51.744852,28.74714,349.682378,3
23,51,Pass,5.766408,11.532816,23.065632,4
24,43,Pass,5.766408,20.182428,40.364856,4
30,11,Pass,11.532816,11.532816,31.715244,4
31,24,50,14.41602,14.41602,49.014468,1
31,24,50,14.37357,11.498856,45.859984,1
30,6,Pass,11.532816,8.649612,25.948836,4
36,14,Pass,5.766408,11.532816,23.065632,4
39,45,Pass,268.137972,8.649612,792.8811,1
40,3,Pass,11.532816,5.766408,23.065632,4
42,21,Pass,20.182428,8.649612,46.131264,4
47,30,Pass,8.649612,11.532816,25.948836,4
46,3,50,17.299224,17.299224,86.49612,2
48,12,Pass,11.532816,11.532816,28.83204,4
50,37,Pass,14.41602,11.532816,37.481652,4
56,67,Pass,63.430488,8.649612,187.40826,1
56,67,50,34.598448,8.649612,83.612916,1
56,67,50,37.371282,14.37357,174.841189,1
55,26,Pass,17.299224,8.649612,37.481652,4
56,26,Pass,20.182428,8.649612,40.364856,4
56,28,Pass,271.021176,8.649612,810.180324,1
55,8,Pass,5.766408,11.532816,23.065632,4
56,14,Pass,271.021176,8.649612,720.801,1
58,49,Pass,11.532816,11.532816,28.83204,4
61,5,Pass,8.649612,11.532816,28.83204,4
62,23,Pass,8.649612,14.41602,31.715244,4
64,29,Pass,23.065632,8.649612,51.897672,4
63,31,Pass,8.649612,11.532816,28.83204,4
65,7,Pass,8.649612,17.299224,37.481652,4
65,39,50,14.41602,14.41602,60.547284,4
67,1,Pass,34.598448,8.649612,100.91214,1
67,50,Pass,11.532816,8.649612,25.948836,4
75,32,Pass,23.065632,8.649612,51.897672,4
78,14,Pass,207.590688,8.649612,567.991188,1
89,31,Pass,20.182428,8.649612,43.24806,4
90,39,50,20.182428,17.299224,83.612916,2
92,31,Pass,20.182428,8.649612,54.780876,4
95,50,Pass,11.532816,8.649612,25.948836,4
9,22,50,54.619566,11.498856,143.31245,3
12,12,50,51.744852,11.498856,131.847454,3
14,14,50,54.619566,11.498856,154.777446,3
14,31,50,77.617278,14.37357,232.166169,3
15,52,50,74.742564,8.624142,154.777446,3
17,45,50,54.619566,8.624142,134.713703,3
18,52,50,51.744852,11.498856,146.178699,3
23,15,50,63.243708,8.624142,157.643695,3
22,38,50,117.863274,8.624142,303.822394,3
31,3,50,63.243708,14.37357,263.694908,3
34,42,50,54.619566,11.498856,134.713703,3
36,34,50,51.744852,14.37357,189.172434,3
40,11,50,66.118422,14.37357,249.363663,3
41,48,50,86.24142,11.498856,260.828659,3
41,48,50,8.624142,14.37357,34.394988,1
48,60,50,74.742564,8.624142,180.573687,3
50,48,50,91.990848,14.37357,306.688643,3
53,45,50,83.366706,14.37357,214.968675,3
53,66,50,51.744852,11.498856,151.911197,3
67,19,50,51.744852,8.624142,134.713703,3
90,51,50,80.491992,11.498856,194.904932,3
90,28,50,68.993136,14.37357,206.369928,3
4,36,Pass,2.874714,11.498856,11.464996,1
8,24,Pass,5.749428,8.624142,11.464996,1
8,24,Pass,8.624142,5.749428,14.331245,1
12,17,Pass,5.749428,8.624142,17.197494,1
26,44,50,11.498856,11.498856,25.796241,1
26,30,Pass,2.874714,17.248284,17.197494,1
27,20,Pass,2.874714,25.872426,25.796241,1
35,3,50,31.621854,14.37357,143.31245,1
36,11,Pass,5.749428,28.74714,51.592482,1
41,58,Pass,8.624142,43.12071,91.719968,1
41,58,Pass,5.749428,22.997712,31.528739,1
42,30,50,2.874714,8.624142,8.598747,1
44,17,Pass,5.749428,17.248284,22.929992,1
48,39,Pass,11.498856,2.874714,11.464996,1
48,39,Pass,11.498856,17.248284,37.261237,1
48,39,Pass,11.498856,17.248284,34.394988,1
48,39,Pass,2.874714,34.496568,34.394988,1
49,60,Pass,5.749428,8.624142,14.331245,1
49,60,Pass,2.874714,14.37357,14.331245,1
49,60,Pass,2.874714,40.245996,40.127486,1
49,60,Pass,2.874714,17.248284,17.197494,1
49,60,Pass,2.874714,25.872426,25.796241,1
52,8,Pass,2.874714,11.498856,11.464996,1
53,37,Pass,8.624142,5.749428,14.331245,1
53,35,Pass,8.624142,2.874714,8.598747,1
58,29,Pass,11.498856,2.874714,11.464996,1
63,58,Pass,8.624142,48.870138,114.64996,1
71,18,Pass,2.874714,8.624142,8.598747,1
70,60,Pass,8.624142,2.874714,8.598747,1
72,24,Pass,8.624142,51.744852,128.981205,1
75,36,Pass,2.874714,8.624142,8.598747,1
75,40,Pass,8.624142,17.248284,28.66249,1
75,40,Pass,5.749428,8.624142,17.197494,1
87,30,Pass,8.624142,2.874714,8.598747,1
89,13,Pass,11.498856,11.498856,28.66249,1
90,45,50,5.749428,8.624142,11.464996,1
90,49,50,5.749428,11.498856,17.197494,1
95,16,Pass,2.874714,17.248284,17.197494,1
94,40,50,5.749428,14.37357,22.929992,1
94,40,50,5.749428,14.37357,22.929992,1
97,29,50,8.624142,2.874714,8.598747,1

